,team_idx,team_home,team_win,rolling_5_team_win,per_shot_all_expanding_mean,per_shot_one_expanding_mean,per_shot_two_expanding_mean,per_shot_three_expanding_mean,rebounds_in_defence_expanding_mean,rebounds_in_attack_expanding_mean,team_per_shot_all_expanding_mean,team_per_shot_one_expanding_mean,team_per_shot_two_expanding_mean,team_per_shot_three_expanding_mean,team_rebounds_in_defence_expanding_mean,team_rebounds_in_attack_expanding_mean,team_per_shot_all_rolling_2_mean,team_per_shot_one_rolling_2_mean,team_per_shot_two_rolling_2_mean,team_per_shot_three_rolling_2_mean,team_rebounds_in_defence_rolling_2_mean,team_rebounds_in_attack_rolling_2_mean,per_shot_all_away_expanding_mean,per_shot_one_away_expanding_mean,per_shot_two_away_expanding_mean,per_shot_three_away_expanding_mean,rebounds_in_defence_away_expanding_mean,rebounds_in_attack_away_expanding_mean,team_per_shot_all_away_expanding_mean,team_per_shot_one_away_expanding_mean,team_per_shot_two_away_expanding_mean,team_per_shot_three_away_expanding_mean,team_rebounds_in_defence_away_expanding_mean,team_rebounds_in_attack_away_expanding_mean,team_per_shot_all_away_rolling_2_mean,team_per_shot_one_away_rolling_2_mean,team_per_shot_two_away_rolling_2_mean,team_per_shot_three_away_rolling_2_mean,team_rebounds_in_defence_away_rolling_2_mean,team_rebounds_in_attack_away_rolling_2_mean,count_team_win_expanding_sum,count_team_loss_expanding_sum,speed_team,speed_team_away,top_1_ill,top_2_ill,top_3_ill,top_4_ill,top_5_ill,top_6_ill,top_7_ill,top_8_ill,top_9_ill,top_10_ill,top_1_ill_away,top_2_ill_away,top_3_ill_away,top_4_ill_away,top_5_ill_away,top_6_ill_away,top_7_ill_away,top_8_ill_away,top_9_ill_away,top_10_ill_away,rank_team_expanding_mean,rank_team_rolling,rank_team_expanding_mean_away,rank_team_rolling_away,team_delta_rolling_2_mean,team_delta_expanding_mean,team_delta_lag_1,match_home_koef,match_away_koef
545,9,1,0,0.6,0.48707212900012103,0.76620670995671,0.542129261009481,0.3932124134011426,37.4,8.8,0.4854946100190235,0.7748917748917749,0.5614415979157621,0.3762677484787018,33.0,6.5,0.4854946100190235,0.7748917748917749,0.5614415979157621,0.3762677484787018,33.0,6.5,0.43994917406626677,0.6565656565656566,0.4789648033126294,0.4016781590975139,32.0,8.2,0.39858793324775355,0.6944444444444444,0.37857142857142856,0.4435483870967742,30.5,9.0,0.39858793324775355,0.6944444444444444,0.37857142857142856,0.4435483870967742,30.5,9.0,3.0,2.0,1.8333333333333335,2.28125,2.0362462760675273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.715988083416087,1.9354518371400196,1.023336643495531,1.0193644488579938,0.9920556107249254,0.0,0.0,0.0,0.0,0.0,0.28649453823237336,0.4647467725918569,0.2699851042701092,0.3932472691161867,-21.5,-21.5,-36.0,1.64,2.25
986,16,0,1,0.6,0.47741391228572816,0.7655733460830911,0.5435804705839293,0.3712568552325145,34.8,8.8,0.4854946100190235,0.7748917748917749,0.5614415979157621,0.3762677484787018,33.0,6.5,0.4854946100190235,0.7748917748917749,0.5614415979157621,0.3762677484787018,33.0,6.5,0.43069748683695674,0.7158859963957415,0.47072681704260655,0.37094348775163716,31.6,10.4,0.39858793324775355,0.6944444444444444,0.37857142857142856,0.4435483870967742,30.5,9.0,0.39858793324775355,0.6944444444444444,0.37857142857142856,0.4435483870967742,30.5,9.0,3.0,2.0,2.28125,1.8333333333333335,2.715988083416087,1.9354518371400196,1.023336643495531,1.0193644488579938,0.9920556107249254,0.0,0.0,0.0,0.0,0.0,2.0362462760675273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2699851042701092,0.3932472691161867,0.28649453823237336,0.4647467725918569,21.5,21.5,36.0,1.64,2.25
623,10,1,1,0.6,0.46078316443429085,0.7521275274093969,0.5284157363104731,0.3660004773168331,41.875,9.75,0.41950354609929075,0.6668399168399168,0.5,0.29523809523809524,41.5,8.5,0.41950354609929075,0.6668399168399168,0.5,0.29523809523809524,41.5,8.5,0.4156455254329866,0.7653705722896128,0.455982108130813,0.3613266509728657,36.625,9.5,0.4254981884057971,0.7270114942528736,0.45802849441663457,0.38372093023255816,44.0,9.5,0.4254981884057971,0.7270114942528736,0.45802849441663457,0.38372093023255816,44.0,9.5,4.0,4.0,2.3541666666666665,2.28125,4.683714001986097,2.3326713008937436,1.4841112214498509,1.1057596822244289,1.0278053624627606,0.7070506454816285,0.5799404170804369,0.3788480635551142,0.37487586891757696,0.25918570009930486,2.584409136047666,2.1469712015888778,1.96772591857001,1.901191658391261,1.256703078450844,0.875372393247269,0.7358490566037735,0.5283018867924528,0.0,0.0,0.26515285856149806,0.29845626072041165,0.337443451395785,0.3634558093346574,3.5,3.5,8.0,2.01,1.8
1763,28,0,0,0.4,0.4635486284542203,0.7319800714365932,0.5396266046443563,0.33519311739706115,37.25,9.125,0.41950354609929075,0.6668399168399168,0.5,0.29523809523809524,41.5,8.5,0.41950354609929075,0.6668399168399168,0.5,0.29523809523809524,41.5,8.5,0.4500938327372954,0.7713529911875295,0.5110777575062262,0.34845519415568177,35.75,11.25,0.4254981884057971,0.7270114942528736,0.45802849441663457,0.38372093023255816,44.0,9.5,0.4254981884057971,0.7270114942528736,0.45802849441663457,0.38372093023255816,44.0,9.5,4.0,4.0,2.28125,2.3541666666666665,2.584409136047666,2.1469712015888778,1.96772591857001,1.901191658391261,1.256703078450844,0.875372393247269,0.7358490566037735,0.5283018867924528,0.0,0.0,4.683714001986097,2.3326713008937436,1.4841112214498509,1.1057596822244289,1.0278053624627606,0.7070506454816285,0.5799404170804369,0.3788480635551142,0.37487586891757696,0.25918570009930486,0.337443451395785,0.3634558093346574,0.26515285856149806,0.29845626072041165,-3.5,-3.5,-8.0,2.01,1.8
1721,27,0,1,0.2,0.45972861142598515,0.7415519321129016,0.5131017507553521,0.36250345446971877,37.111111111111114,9.333333333333334,0.4416497633536173,0.7157190635451505,0.4635854341736695,0.39950980392156865,34.5,7.5,0.4416497633536173,0.7157190635451505,0.4635854341736695,0.39950980392156865,34.5,7.5,0.4671151617696539,0.7667183319041052,0.508643861585038,0.3978900173366473,38.44444444444444,9.444444444444445,0.4834581019077518,0.78125,0.48424369747899154,0.4813519813519813,41.0,11.5,0.4834581019077518,0.78125,0.48424369747899154,0.4813519813519813,41.0,11.5,3.0,6.0,2.1875,2.3958333333333335,1.9692154915590863,1.8485600794438928,1.7919563058589871,1.7020854021847067,1.5824230387288976,1.272095332671301,1.1941410129096324,0.7234359483614696,0.6519364448857993,0.0,2.96325719960278,2.783018867924528,1.6539225422045678,1.236842105263158,0.984607745779543,0.673286991062562,0.5253227408143,0.47318768619662366,0.2135054617676266,0.0,0.36431487523841044,0.3574975173783515,0.34374195446688,0.3376365441906653,-10.0,-10.0,-6.0,1.21,4.37
1222,19,1,0,0.8,0.4648263703684101,0.7815460735306458,0.5245196752211403,0.3714300240365149,35.8,9.0,0.4416497633536173,0.7157190635451505,0.4635854341736695,0.39950980392156865,34.5,7.5,0.4416497633536173,0.7157190635451505,0.4635854341736695,0.39950980392156865,34.5,7.5,0.46495720922851386,0.7475713200055305,0.5194951683833539,0.38047216779246934,35.3,9.3,0.4834581019077518,0.78125,0.48424369747899154,0.4813519813519813,41.0,11.5,0.4834581019077518,0.78125,0.48424369747899154,0.4813519813519813,41.0,11.5,8.0,2.0,2.3958333333333335,2.1875,2.96325719960278,2.783018867924528,1.6539225422045678,1.236842105263158,0.984607745779543,0.673286991062562,0.5253227408143,0.47318768619662366,0.2135054617676266,0.0,1.9692154915590863,1.8485600794438928,1.7919563058589871,1.7020854021847067,1.5824230387288976,1.272095332671301,1.1941410129096324,0.7234359483614696,0.6519364448857993,0.0,0.34374195446688,0.3376365441906653,0.36431487523841044,0.3574975173783515,10.0,10.0,6.0,1.21,4.37
687,11,0,1,0.8,0.4974401269861113,0.723517443539644,0.5630281721106191,0.41019449651850964,36.38461538461539,9.153846153846153,0.5604575163398693,0.7157738095238095,0.6622861910721736,0.426812585499316,40.0,8.0,0.5604575163398693,0.7157738095238095,0.6622861910721736,0.426812585499316,40.0,8.0,0.44727482309666305,0.803774909882337,0.5076253558061208,0.3522126789915747,33.38461538461539,11.538461538461538,0.4152640437618346,0.9333333333333333,0.44735221674876846,0.37103658536585366,28.5,10.5,0.4152640437618346,0.9333333333333333,0.44735221674876846,0.37103658536585366,28.5,10.5,7.0,6.0,2.65625,2.3958333333333335,3.511916583912611,2.941906653426018,1.7353525322740815,1.6142005958291954,1.1047666335650446,1.0526315789473684,0.9324726911618668,0.7487586891757696,0.6698113207547167,0.6514399205561071,3.4319761668321744,1.4642502482621649,1.426017874875869,0.9617676266137039,0.9126117179741806,0.8197616683217477,0.7944389275074477,0.7492552135054618,0.5849056603773585,0.4131082423038729,0.29627215907866733,0.30662287067450916,0.260075933114662,0.28003972194637533,12.5,12.5,15.0,5.67,1.14
1132,18,1,0,0.2,0.4403181558011761,0.7692978274120515,0.5119051686030943,0.3512376159147204,35.75,9.583333333333334,0.5604575163398693,0.7157738095238095,0.6622861910721736,0.426812585499316,40.0,8.0,0.5604575163398693,0.7157738095238095,0.6622861910721736,0.426812585499316,40.0,8.0,0.46245629330782984,0.6698565595624419,0.5442635980321314,0.3520999371679681,36.75,9.25,0.4152640437618346,0.9333333333333333,0.44735221674876846,0.37103658536585366,28.5,10.5,0.4152640437618346,0.9333333333333333,0.44735221674876846,0.37103658536585366,28.5,10.5,3.0,9.0,2.3958333333333335,2.65625,3.4319761668321744,1.4642502482621649,1.426017874875869,0.9617676266137039,0.9126117179741806,0.8197616683217477,0.7944389275074477,0.7492552135054618,0.5849056603773585,0.4131082423038729,3.511916583912611,2.941906653426018,1.7353525322740815,1.6142005958291954,1.1047666335650446,1.0526315789473684,0.9324726911618668,0.7487586891757696,0.6698113207547167,0.6514399205561071,0.260075933114662,0.28003972194637533,0.29627215907866733,0.30662287067450916,-12.5,-12.5,-15.0,5.67,1.14
1725,27,1,0,0.8,0.4608496560778966,0.7353280181839037,0.5131168350349153,0.36240377222657055,38.69230769230769,9.23076923076923,0.48322107999527353,0.7912087912087913,0.5917391304347825,0.3643410852713178,38.5,8.0,0.48322107999527353,0.7912087912087913,0.5917391304347825,0.3643410852713178,38.5,8.0,0.45550992272337104,0.780749780395478,0.496532384136705,0.3843679973502796,37.76923076923077,9.153846153846153,0.41883116883116883,0.7181712962962963,0.5089193825042881,0.2673509286412512,32.0,10.0,0.41883116883116883,0.7181712962962963,0.5089193825042881,0.2673509286412512,32.0,10.0,6.0,7.0,2.125,2.5,2.2780536246276064,2.1231380337636545,1.9538232373386295,1.9121151936444885,1.3202581926514396,1.118172790466733,0.4473684210526316,0.3048659384309831,0.22840119165839126,0.0,2.5084409136047663,2.052631578947368,1.7030784508440913,1.183217477656405,1.153922542204568,1.0109235352532273,0.8083416087388282,0.6370407149950347,0.6002979145978153,0.5342601787487585,0.31749953125325514,0.32969215491559084,0.3067999527781057,0.2914597815292949,-18.0,-18.0,-22.0,1.33,3.33
1284,20,0,1,0.2,0.46854924279033033,0.734763154061573,0.5558933952119486,0.36434308717016517,35.63636363636363,8.909090909090908,0.48322107999527353,0.7912087912087913,0.5917391304347825,0.3643410852713178,38.5,8.0,0.48322107999527353,0.7912087912087913,0.5917391304347825,0.3643410852713178,38.5,8.0,0.45497831363559516,0.7734004320960842,0.5275376518873678,0.33173805624382025,34.90909090909091,9.818181818181818,0.41883116883116883,0.7181712962962963,0.5089193825042881,0.2673509286412512,32.0,10.0,0.41883116883116883,0.7181712962962963,0.5089193825042881,0.2673509286412512,32.0,10.0,5.0,6.0,2.5,2.125,2.5084409136047663,2.052631578947368,1.7030784508440913,1.183217477656405,1.153922542204568,1.0109235352532273,0.8083416087388282,0.6370407149950347,0.6002979145978153,0.5342601787487585,2.2780536246276064,2.1231380337636545,1.9538232373386295,1.9121151936444885,1.3202581926514396,1.118172790466733,0.4473684210526316,0.3048659384309831,0.22840119165839126,0.0,0.3067999527781057,0.2914597815292949,0.31749953125325514,0.32969215491559084,18.0,18.0,22.0,1.33,3.33
